Key;Start;Ende
46;de:08212:1106;de:08212:1110
47;de:08212:1110;de:08212:1111
48;de:08212:1111;de:08212:1114
49;de:08212:1114;de:08212:1115
50;de:08212:12;de:08212:8
51;de:08212:1201;de:08212:1206
52;de:08212:1201;de:08212:89
53;de:08212:1201;de:08215:1221
54;de:08212:1206;de:08212:1207
55;de:08212:1207;de:08212:1208
56;de:08212:1208;de:08212:1209
57;de:08212:1209;de:08212:1210
58;de:08212:1210;de:08215:1220
59;de:08212:13;de:08212:7009
60;de:08212:1510;de:08212:1521
61;de:08212:1521;de:08212:1525
62;de:08212:1525;de:08215:1526
63;de:08212:1525;de:08212:1600
64;de:08212:16;de:08212:17
65;de:08212:1600;de:08215:1601
66;de:08212:17;de:08212:18
67;de:08212:107;de:08212:1700
68;de:08212:201;de:08212:51
69;de:08212:201;de:08212:203
70;de:08212:203;de:08212:204
71;de:08212:204;de:08212:205
72;de:08212:205;de:08212:206
73;de:08212:206;de:08212:209
74;de:08212:231;de:08212:3102
75;de:08212:233;de:08212:3301
76;de:08212:3;de:08212:401
77;de:08212:3013;de:08215:1902
78;de:08212:3017;de:08212:411
79;de:08212:302;de:08212:315
80;de:08212:302;de:08212:303
81;de:08212:303;de:08212:304
82;de:08212:304;de:08212:305
83;de:08212:305;de:08212:306
84;de:08212:306;de:08212:307
85;de:08212:307;de:08212:308
86;de:08212:310;de:08212:313
87;de:08212:233;de:08212:3102
88;de:08212:313;de:08212:314
89;de:08212:201;de:08212:315
90;de:08212:3013;de:08212:3301
