Key;Start;Ende
136;de:08212:623;de:08212:624
137;de:08212:624;de:08212:7
138;de:08212:402;de:08212:626
139;de:08212:63;de:08212:91
140;de:08212:7;de:08212:9
141;de:08212:626;de:08212:7
142;de:08212:39;de:08212:7003
143;de:08212:12;de:08212:7009
144;de:08212:71;de:08212:85
145;de:08212:74;de:08212:98
146;de:08212:5;de:08212:8
147;de:08212:3;de:08212:80
148;de:08212:801;de:08215:1853
149;de:08212:1521;de:08212:802
150;de:08212:1510;de:08212:802
151;de:08212:83;de:08212:85
152;de:08212:83;de:08212:84
153;de:08212:80;de:08212:85
154;de:08212:3;de:08212:85
155;de:08212:622;de:08212:85
156;de:08212:89;de:08212:98
157;de:08212:10;de:08212:9
158;de:08212:801;de:08212:90
159;de:08212:89;de:08212:91
160;de:08212:1201;de:08212:91
161;de:08212:84;de:08212:98
162;de:08215:1120;de:08215:1124
163;de:08215:1120;de:08215:1122
164;de:08215:1122;de:08215:1123
165;de:08212:1115;de:08215:1124
166;de:08215:1123;de:08215:1131
167;de:08215:1131;de:08215:1132
168;de:08215:1132;de:08215:1133
169;de:08215:1133;de:08215:1151
170;de:08215:1151;de:08215:1152
171;de:08215:1152;de:08215:1153
172;de:08215:1153;de:08215:1154
173;de:08215:1154;de:08215:1155
174;de:08215:1155;de:08215:1156
175;de:08215:1156;de:08215:1157
176;de:08215:1220;de:08215:1221
177;de:08215:1221;de:08215:1223
178;de:08215:1223;de:08215:1231
179;de:08215:1231;de:08215:1235
180;de:08215:1231;de:08215:1241
