LineRef;Station;Direction;Route;StopSeq
22032;de:08215:32009;H;Menzingen - Karlsruhe;1
22032;de:08215:32008;H;Menzingen - Karlsruhe;2
22032;de:08215:32007;H;Menzingen - Karlsruhe;3
22032;de:08215:32006;H;Menzingen - Karlsruhe;4
22032;de:08215:32005;H;Menzingen - Karlsruhe;5
22032;de:08215:32004;H;Menzingen - Karlsruhe;6
22032;de:08215:32003;H;Menzingen - Karlsruhe;7
22032;de:08215:32002;H;Menzingen - Karlsruhe;8
22032;de:08215:32001;H;Menzingen - Karlsruhe;9
22032;de:08215:31002;H;Menzingen - Karlsruhe;10
22032;de:08215:1858;H;Menzingen - Karlsruhe;11
22032;de:08215:1857;H;Menzingen - Karlsruhe;12
22032;de:08215:1856;H;Menzingen - Karlsruhe;13
22032;de:08215:1855;H;Menzingen - Karlsruhe;14
22032;de:08215:1854;H;Menzingen - Karlsruhe;15
22032;de:08215:1853;H;Menzingen - Karlsruhe;16
22032;de:08212:801;H;Menzingen - Karlsruhe;17
22032;de:08212:90;H;Menzingen - Karlsruhe;18
