LineRef;Station;Direction;Route;StopSeq
22051;de:08215:1617;H;Pforzheim - Germersheim;1
22051;de:08215:1616;H;Pforzheim - Germersheim;2
22051;de:08215:1634;H;Pforzheim - Germersheim;3
22051;de:08215:2008;H;Pforzheim - Germersheim;4
22051;de:08215:1601;H;Pforzheim - Germersheim;5
22051;de:08212:1600;H;Pforzheim - Germersheim;6
22051;de:08212:1525;H;Pforzheim - Germersheim;7
22051;de:08212:1521;H;Pforzheim - Germersheim;8
22051;de:08212:1510;H;Pforzheim - Germersheim;9
22051;de:08212:802;H;Pforzheim - Germersheim;10
22051;de:08212:10;H;Pforzheim - Germersheim;11
22051;de:08212:9;H;Pforzheim - Germersheim;12
22051;de:08212:7;H;Pforzheim - Germersheim;13
22051;de:08212:6;H;Pforzheim - Germersheim;14
22051;de:08212:1001;H;Pforzheim - Germersheim;15
22051;de:08212:1002;H;Pforzheim - Germersheim;16
22051;de:08212:1003;H;Pforzheim - Germersheim;17
22051;de:08212:1004;H;Pforzheim - Germersheim;18
22051;de:08212:39;H;Pforzheim - Germersheim;19
22051;de:08212:41;H;Pforzheim - Germersheim;20
22051;de:08212:44;H;Pforzheim - Germersheim;21
22051;de:08212:45;H;Pforzheim - Germersheim;22
22051;de:08212:51;H;Pforzheim - Germersheim;23
22051;de:08212:58;H;Pforzheim - Germersheim;24
22051;de:08212:101;H;Pforzheim - Germersheim;25
22051;de:08212:103;H;Pforzheim - Germersheim;26
22051;de:08212:104;H;Pforzheim - Germersheim;27
22051;de:08212:105;H;Pforzheim - Germersheim;28
22051;de:08212:106;H;Pforzheim - Germersheim;29
22051;de:08212:107;H;Pforzheim - Germersheim;30
22051;de:08212:1700;H;Pforzheim - Germersheim;31
22051;de:07334:1721;H;Pforzheim - Germersheim;32
22051;de:07334:1723;H;Pforzheim - Germersheim;33
22051;de:07334:1731;H;Pforzheim - Germersheim;34
22051;de:07334:1741;H;Pforzheim - Germersheim;35
22051;de:07334:35004;H;Pforzheim - Germersheim;36
22051;de:07334:1743;H;Pforzheim - Germersheim;37
22051;de:07334:1744;H;Pforzheim - Germersheim;38
22051;de:07334:35003;H;Pforzheim - Germersheim;39
22051;de:07334:1745;H;Pforzheim - Germersheim;40
22051;de:07334:32451;H;Pforzheim - Germersheim;41
22051;de:07334:32660;H;Pforzheim - Germersheim;42
22051;de:07334:1746;H;Pforzheim - Germersheim;43
22051;de:07334:35002;H;Pforzheim - Germersheim;44
22051;de:07334:1747;H;Pforzheim - Germersheim;45
22051;de:07334:1748;H;Pforzheim - Germersheim;46
22051;de:07334:32637;H;Pforzheim - Germersheim;47
